DatasetName,MonitoringLocationID,MonitoringLocationName,MonitoringLocationLatitude,MonitoringLocationLongitude,MonitoringLocationHorizontalCoordinateReferenceSystem,MonitoringLocationType,MonitoringLocationWaterbody,ActivityType,ActivityMediaName,ActivityStartDate,ActivityStartTime,ActivityEndDate,ActivityEndTime,ActivityDepthHeightMeasure,ActivityDepthHeightUnit,SampleCollectionEquipmentName,CharacteristicName,MethodSpeciation,ResultSampleFraction,ResultValue,ResultUnit,ResultDetectionCondition,ResultDetectionQuantitationLimitMeasure,ResultDetectionQuantitationLimitUnit,ResultDetectionQuantitationLimitType,ResultStatusID,ResultComment,ResultAnalyticalMethodID,ResultAnalyticalMethodContext,ResultAnalyticalMethodName,AnalysisStartDate,AnalysisStartTime,AnalysisStartTimeZone,LaboratoryName,LaboratorySampleID
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-06-06,,,,,,Probe/Sensor,Turbidity,,,153.6,NTU,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-06-06,,,,,,Probe/Sensor,"Temperature, water",,,18.4,deg C,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-06-06,,,,,,Probe/Sensor,Oxidation reduction potential (ORP),,,199.2,mV,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-06-12,,,,,,Probe/Sensor,Specific conductance,,,187.6,uS/cm,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-06-12,,,,,,Probe/Sensor,Dissolved oxygen (DO),,,8.57,mg/l,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-06-12,,,,,,Probe/Sensor,Dissolved oxygen saturation,,,88.17,%,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-06-12,,,,,,Probe/Sensor,pH,,,7.96,None,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-06-12,,,,,,Probe/Sensor,Salinity,,,0.11,ppt,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-06-12,,,,,,Probe/Sensor,Turbidity,,,143.6,NTU,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-06-12,,,,,,Probe/Sensor,"Temperature, water",,,16.5,deg C,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-06-12,,,,,,Probe/Sensor,Oxidation reduction potential (ORP),,,162.83,mV,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-06-13,,,,,,Probe/Sensor,Specific conductance,,,188.1,uS/cm,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-06-13,,,,,,Probe/Sensor,Dissolved oxygen (DO),,,7.81,mg/l,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-06-13,,,,,,Probe/Sensor,Dissolved oxygen saturation,,,80.07,%,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-06-13,,,,,,Probe/Sensor,pH,,,7.95,None,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-06-13,,,,,,Probe/Sensor,Salinity,,,0.11,ppt,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-06-13,,,,,,Probe/Sensor,Turbidity,,,130.7,NTU,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-06-13,,,,,,Probe/Sensor,"Temperature, water",,,16.4,deg C,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-06-13,,,,,,Probe/Sensor,Oxidation reduction potential (ORP),,,192.57,mV,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-06-28,,,,,,Probe/Sensor,Specific conductance,,,212.07,uS/cm,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-06-28,,,,,,Probe/Sensor,Dissolved oxygen (DO),,,7.58,mg/l,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-06-28,,,,,,Probe/Sensor,Dissolved oxygen saturation,,,82.07,%,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-06-28,,,,,,Probe/Sensor,pH,,,7.89,None,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-06-28,,,,,,Probe/Sensor,Salinity,,,0.11,ppt,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-06-28,,,,,,Probe/Sensor,Turbidity,,,70.1,NTU,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-06-28,,,,,,Probe/Sensor,"Temperature, water",,,18.8,deg C,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-06-28,,,,,,Probe/Sensor,Oxidation reduction potential (ORP),,,56.83,mV,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-07-20,,,,,,Probe/Sensor,Specific conductance,,,224.83,uS/cm,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-07-20,,,,,,Probe/Sensor,Dissolved oxygen (DO),,,8.24,mg/l,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-07-20,,,,,,Probe/Sensor,Dissolved oxygen saturation,,,91.03,%,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-07-20,,,,,,Probe/Sensor,pH,,,8.05,None,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-07-20,,,,,,Probe/Sensor,Salinity,,,0.12,ppt,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-07-20,,,,,,Probe/Sensor,Turbidity,,,36,NTU,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-07-20,,,,,,Probe/Sensor,"Temperature, water",,,19.87,deg C,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-07-20,,,,,,Probe/Sensor,Oxidation reduction potential (ORP),,,-0.93,mV,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-07-24,,,,,,Probe/Sensor,Specific conductance,,,226.4,uS/cm,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-07-24,,,,,,Probe/Sensor,Dissolved oxygen (DO),,,7.58,mg/l,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-07-24,,,,,,Probe/Sensor,Dissolved oxygen saturation,,,85.9,%,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-07-24,,,,,,Probe/Sensor,pH,,,7.97,None,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-07-24,,,,,,Probe/Sensor,Salinity,,,0.12,ppt,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-07-24,,,,,,Probe/Sensor,Turbidity,,,23.4,NTU,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-07-24,,,,,,Probe/Sensor,"Temperature, water",,,20.73,deg C,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-07-24,,,,,,Probe/Sensor,Oxidation reduction potential (ORP),,,-38.83,mV,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-07-31,,,,,,Probe/Sensor,Specific conductance,,,224.1,uS/cm,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-07-31,,,,,,Probe/Sensor,Dissolved oxygen (DO),,,6.83,mg/l,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-07-31,,,,,,Probe/Sensor,Dissolved oxygen saturation,,,76.47,%,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-07-31,,,,,,Probe/Sensor,pH,,,7.91,None,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-07-31,,,,,,Probe/Sensor,Salinity,,,0.12,ppt,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-07-31,,,,,,Probe/Sensor,Turbidity,,,361.1,NTU,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-07-31,,,,,,Probe/Sensor,"Temperature, water",,,20.7,deg C,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-07-31,,,,,,Probe/Sensor,Oxidation reduction potential (ORP),,,-69.94,mV,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-08-09,,,,,,Probe/Sensor,Specific conductance,,,238.6,uS/cm,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-08-09,,,,,,Probe/Sensor,Dissolved oxygen (DO),,,7.44,mg/l,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-08-09,,,,,,Probe/Sensor,Dissolved oxygen saturation,,,83.3,%,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-08-09,,,,,,Probe/Sensor,pH,,,8.13,None,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-08-09,,,,,,Probe/Sensor,Salinity,,,0.12,ppt,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-08-09,,,,,,Probe/Sensor,Turbidity,,,33.2,NTU,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-08-09,,,,,,Probe/Sensor,"Temperature, water",,,20.5,deg C,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-08-09,,,,,,Probe/Sensor,Oxidation reduction potential (ORP),,,-96.1,mV,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-08-17,,,,,,Probe/Sensor,Specific conductance,,,239.7,uS/cm,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-08-17,,,,,,Probe/Sensor,Dissolved oxygen (DO),,,7.46,mg/l,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-08-17,,,,,,Probe/Sensor,Dissolved oxygen saturation,,,83.63,%,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-08-17,,,,,,Probe/Sensor,pH,,,7.91,None,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-08-17,,,,,,Probe/Sensor,Salinity,,,0.12,ppt,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-08-17,,,,,,Probe/Sensor,Turbidity,,,0,NTU,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-08-17,,,,,,Probe/Sensor,"Temperature, water",,,21,deg C,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-08-17,,,,,,Probe/Sensor,Oxidation reduction potential (ORP),,,-77.45,mV,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-08-23,,,,,,Probe/Sensor,Specific conductance,,,240.8,uS/cm,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-08-23,,,,,,Probe/Sensor,Dissolved oxygen (DO),,,8.15,mg/l,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-08-23,,,,,,Probe/Sensor,Dissolved oxygen saturation,,,86.83,%,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-08-23,,,,,,Probe/Sensor,pH,,,7.95,None,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-08-23,,,,,,Probe/Sensor,Salinity,,,0.13,ppt,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-08-23,,,,,,Probe/Sensor,Turbidity,,,20.2,NTU,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-08-23,,,,,,Probe/Sensor,"Temperature, water",,,18.6,deg C,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-08-23,,,,,,Probe/Sensor,Oxidation reduction potential (ORP),,,-191.57,mV,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-09-08,,,,,,Probe/Sensor,Specific conductance,,,267.67,uS/cm,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-09-08,,,,,,Probe/Sensor,Dissolved oxygen (DO),,,7.85,mg/l,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-09-08,,,,,,Probe/Sensor,Dissolved oxygen saturation,,,83.37,%,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-09-08,,,,,,Probe/Sensor,pH,,,7.91,None,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-09-08,,,,,,Probe/Sensor,Salinity,,,0.15,ppt,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-09-08,,,,,,Probe/Sensor,Turbidity,,,7.6,NTU,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-09-08,,,,,,Probe/Sensor,"Temperature, water",,,18.4,deg C,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-09-08,,,,,,Probe/Sensor,Oxidation reduction potential (ORP),,,-138.9,mV,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-10-06,,,,,,Probe/Sensor,Specific conductance,,,194.87,uS/cm,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-10-06,,,,,,Probe/Sensor,Dissolved oxygen (DO),,,10.26,mg/l,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-10-06,,,,,,Probe/Sensor,Dissolved oxygen saturation,,,87.6,%,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-10-06,,,,,,Probe/Sensor,pH,,,8.1,None,,,,,,Average of entire water column (3 measures),,,,,,,,
Mikisew Cree First Nation - Community Based Monitoring Program,,Cree Creek,58.51339333,-111.5205067,NAD27,River/Stream,Cree Creek,Field Msr/Obs-Portable Data Logger,Surface water,2017-10-06,,,,,,Probe/Sensor,Salinity,,,0.14,ppt,,,,,,Average of entire water column (3 measures),,,,,,,,
